year,borough,category,rent
2015,Croydon,Two Bedroom,1090
2015,Ealing,Two Bedroom,1425
2015,Enfield,Two Bedroom,1171
2015,Greenwich,Two Bedroom,1300
2015,Hackney,Two Bedroom,1753
2015,Hammersmith and Fulham,Two Bedroom,1770
2015,Haringey,Two Bedroom,1436
2015,Harrow,Two Bedroom,1240
2015,Havering,Two Bedroom,958
2015,Hillingdon,Two Bedroom,1165
2015,Hounslow,Two Bedroom,1337
2015,Islington,Two Bedroom,1970
2015,Kensington and Chelsea,Two Bedroom,2937
2015,Kingston upon Thames,Two Bedroom,1335
2015,Lambeth,Two Bedroom,1569
2015,Lewisham,Two Bedroom,1228
2015,Merton,Two Bedroom,1416
2015,Newham,Two Bedroom,1194
2015,Redbridge,Two Bedroom,1086
2015,Richmond upon Thames,Two Bedroom,1646
2015,Southwark,Two Bedroom,1617
2015,Sutton,Two Bedroom,1087
2015,Tower Hamlets,Two Bedroom,1721
2015,Waltham Forest,Two Bedroom,1171
2015,Wandsworth,Two Bedroom,1662
2015,Westminster,Two Bedroom,3035
2011,City of London,Three Bedroom,-
2011,Barking and Dagenham,Three Bedroom,1220
2011,Barnet,Three Bedroom,1777
2011,Bexley,Three Bedroom,1192
2011,Brent,Three Bedroom,1763
2011,Bromley,Three Bedroom,1444
2011,Camden,Three Bedroom,3093
2011,Croydon,Three Bedroom,1321
2011,Ealing,Three Bedroom,1865
2011,Enfield,Three Bedroom,1506
2011,Greenwich,Three Bedroom,1564
2011,Hackney,Three Bedroom,2314
2011,Hammersmith and Fulham,Three Bedroom,2499
2011,Haringey,Three Bedroom,1844
2011,Harrow,Three Bedroom,1505
2011,Havering,Three Bedroom,1117
2011,Hillingdon,Three Bedroom,1388
2011,Hounslow,Three Bedroom,1679
2011,Islington,Three Bedroom,2637
2011,Kensington and Chelsea,Three Bedroom,5700
2011,Kingston upon Thames,Three Bedroom,1688
2011,Lambeth,Three Bedroom,2181
2011,Lewisham,Three Bedroom,1526
2011,Merton,Three Bedroom,1717
2011,Newham,Three Bedroom,1462
2011,Redbridge,Three Bedroom,1387
2011,Richmond upon Thames,Three Bedroom,2360
2011,Southwark,Three Bedroom,1965
2011,Sutton,Three Bedroom,1356
2011,Tower Hamlets,Three Bedroom,2262
2011,Waltham Forest,Three Bedroom,1470
2011,Wandsworth,Three Bedroom,2160
2011,Westminster,Three Bedroom,4716
2016,City of London,One Bedroom,2006
2016,Barking and Dagenham,One Bedroom,848
2016,Barnet,One Bedroom,1117
2016,Bexley,One Bedroom,765
2016,Brent,One Bedroom,1218
2016,Bromley,One Bedroom,924
2016,Camden,One Bedroom,1612
2016,Croydon,One Bedroom,895
2016,Ealing,One Bedroom,1191
2016,Enfield,One Bedroom,983
2016,Greenwich,One Bedroom,1077
2016,Hackney,One Bedroom,1480
2016,Hammersmith and Fulham,One Bedroom,1402
2016,Haringey,One Bedroom,1222
2016,Harrow,One Bedroom,1029
2016,Havering,One Bedroom,801
2016,Hillingdon,One Bedroom,922
2016,Hounslow,One Bedroom,1211
2016,Islington,One Bedroom,1542
2016,Kensington and Chelsea,One Bedroom,2134
2016,Kingston upon Thames,One Bedroom,1074
2016,Lambeth,One Bedroom,1335
2016,Lewisham,One Bedroom,1059
2016,Merton,One Bedroom,1174
2016,Newham,One Bedroom,1102
2016,Redbridge,One Bedroom,932
2016,Richmond upon Thames,One Bedroom,1257
2016,Southwark,One Bedroom,1341
2016,Sutton,One Bedroom,875
2016,Tower Hamlets,One Bedroom,1464
2016,Waltham Forest,One Bedroom,991
2016,Wandsworth,One Bedroom,1393
2016,Westminster,One Bedroom,2057
2016,City of London,Two Bedroom,2928
2016,Barking and Dagenham,Two Bedroom,1070
2016,Barnet,Two Bedroom,1445
2016,Bexley,Two Bedroom,1005
2016,Brent,Two Bedroom,1530
2016,Bromley,Two Bedroom,1181
2016,Camden,Two Bedroom,2239
2016,Croydon,Two Bedroom,1138
2016,Ealing,Two Bedroom,1510
2016,Enfield,Two Bedroom,1261
2016,Greenwich,Two Bedroom,1326
2016,Hackney,Two Bedroom,1852
2016,Hammersmith and Fulham,Two Bedroom,1922
2016,Haringey,Two Bedroom,1555
2016,Harrow,Two Bedroom,1305
2016,Havering,Two Bedroom,996
2016,Hillingdon,Two Bedroom,1217
2016,Hounslow,Two Bedroom,1633
2016,Islington,Two Bedroom,2050
2016,Kensington and Chelsea,Two Bedroom,3177
2016,Kingston upon Thames,Two Bedroom,1378
2016,Lambeth,Two Bedroom,1647
2016,Lewisham,Two Bedroom,1308
2016,Merton,Two Bedroom,1499
2016,Newham,Two Bedroom,1341
2016,Redbridge,Two Bedroom,1168
2016,Richmond upon Thames,Two Bedroom,1667
2016,Southwark,Two Bedroom,1696
2016,Sutton,Two Bedroom,1162
2016,Tower Hamlets,Two Bedroom,1868
2016,Waltham Forest,Two Bedroom,1238
2016,Wandsworth,Two Bedroom,1785
2016,Westminster,Two Bedroom,2833
2011,City of London,Three Bedroom,..
2011,Barking and Dagenham,Three Bedroom,1317
2011,Barnet,Three Bedroom,1930
2011,Bexley,Three Bedroom,1228
2011,Brent,Three Bedroom,1947
2011,Bromley,Three Bedroom,1465
2011,Camden,Three Bedroom,3437
2011,Croydon,Three Bedroom,1348
2011,Ealing,Three Bedroom,1980
2011,Enfield,Three Bedroom,1555
2011,Greenwich,Three Bedroom,1576
2011,Hackney,Three Bedroom,2340
2011,Hammersmith and Fulham,Three Bedroom,2702
2011,Haringey,Three Bedroom,1962
2011,Harrow,Three Bedroom,1591
2011,Havering,Three Bedroom,1215
2011,Hillingdon,Three Bedroom,1482
2011,Hounslow,Three Bedroom,1918
2011,Islington,Three Bedroom,2573
2011,Kensington and Chelsea,Three Bedroom,5174
2011,Kingston upon Thames,Three Bedroom,1777
2011,Lambeth,Three Bedroom,2196
2011,Lewisham,Three Bedroom,1609
2011,Merton,Three Bedroom,1978
2011,Newham,Three Bedroom,1627
2011,Redbridge,Three Bedroom,1484
2011,Richmond upon Thames,Three Bedroom,2306
2011,Southwark,Three Bedroom,2034
2011,Sutton,Three Bedroom,1482
2011,Tower Hamlets,Three Bedroom,2396
2011,Waltham Forest,Three Bedroom,1540
2011,Wandsworth,Three Bedroom,2263
2011,Westminster,Three Bedroom,4377
2017,City of London,One Bedroom,1883
2017,Barking and Dagenham,One Bedroom,943
2017,Barnet,One Bedroom,1135
2017,Bexley,One Bedroom,821
2017,Brent,One Bedroom,1240
2017,Bromley,One Bedroom,972
2017,Camden,One Bedroom,1612
2017,Croydon,One Bedroom,926
2017,Ealing,One Bedroom,1232
